	T89-1	T89-2	250-5	250-8	250-13
Potri.001G042200.0	84	43	24	9	46
Potri.001G042300.0	0	0	0	0	0
Potri.001G042400.0	3	4	0	0	5
Potri.001G042500.0	27	21	6	4	16
Potri.001G042600.0	9	6	2	0	2
Potri.001G042700.0	3	1	2	0	1
Potri.001G042800.0	1	1	0	0	0
Potri.001G042900.0	1510	2132	962	582	1160
Potri.001G043000.0	188	209	169	98	215
Potri.001G043100.0	417	181	174	183	430
Potri.001G043200.0	79	107	44	39	68
Potri.001G043300.0	13	10	6	7	9
Potri.001G043400.0	51	78	37	35	75
Potri.001G043500.0	16	20	16	7	22
Potri.001G043600.0	18	33	6	6	14
Potri.001G043700.0	82	83	41	27	64
Potri.001G043800.0	2	0	2	2	5
Potri.001G043900.0	8	9	42	18	11
Potri.001G044000.0	20	26	29	7	28
Potri.001G044100.0	0	0	0	0	0
Potri.001G044200.0	23	50	26	19	39
Potri.001G044300.0	7	1	4	6	10
Potri.001G044400.0	0	0	0	3	2
Potri.001G044500.0	7	10	3	5	6
Potri.001G044600.0	0	0	0	0	0
Potri.001G044700.0	11	24	12	9	10
Potri.001G044800.0	0	0	0	0	0
Potri.001G044900.0	30	48	28	15	45
Potri.001G045000.0	0	0	0	0	1
Potri.001G045100.0	0	0	0	0	0
Potri.001G045200.0	0	0	0	0	0
Potri.001G045300.0	0	0	0	0	0
Potri.001G045400.0	0	0	0	0	0
Potri.001G045500.0	11	7	4	2	9
Potri.001G045600.0	0	0	0	0	0
Potri.001G045700.0	0	0	0	0	0
Potri.001G045800.0	0	2	0	0	0
Potri.001G045900.0	0	0	0	0	1
Potri.001G046000.0	0	0	0	0	0
Potri.001G046100.0	3	2	0	1	3
Potri.001G046200.0	6	14	7	7	27
Potri.001G046300.0	19	25	29	16	55
Potri.001G046400.0	0	2	2	2	5
Potri.001G046500.0	233	403	415	241	685
Potri.001G046600.0	89	61	38	44	71
Potri.001G046700.0	75	81	35	46	96
Potri.001G046800.0	12	8	22	19	32
