ID	6.1_2.57.1	6.1_2.57.2	6.1_2.57.3	6.5_2.76.1_MERGED	6.5_2.76.2_MERGED	6.5_2.76.3_MERGED	6.6_2.05.1_MERGED	6.6_2.05.2_MERGED	6.6_2.42.4_MERGED	6.6_2.42.5_MERGED	6.6_2.42.6_MERGED	6.6_2.24.1_MERGED	6.6_2.24.2_MERGED	6.6_2.24.3_MERGED	6.6_2.14.1_MERGED	6.6_2.14.2_MERGED	6.6_2.14.3_MERGED	6.6_2.29.1_MERGED	6.6_2.28.1_MERGED	6.6_2.32.1_MERGED	6.6_2.30.1_MERGED	6.6_2.33.1_MERGED	6.6_2.31.1_MERGED	6.6_2.27.1_MERGED	6.6_2.27.2_MERGED	6.6_2.27.3_MERGED	6.6_2.52.1_MERGED	6.6_2.52.2_MERGED	6.6_2.52.3_MERGED	6.6_2.03.1_MERGED	6.6_2.03.2_MERGED	6.6_2.03.3_MERGED	6.6_2.16.1_MERGED	6.6_2.16.2_MERGED	6.6_2.16.3_MERGED	6.6_2.45.1_MERGED	6.6_2.45.2_MERGED	6.6_2.45.3_MERGED	6.6_2.15.1_MERGED	6.6_2.15.2_MERGED	6.6_2.15.3_MERGED	6.6_2.40.1_MERGED	6.6_2.40.2_MERGED	6.6_2.40.3_MERGED	6.6_2.47.1_MERGED	6.6_2.47.2_MERGED	6.6_2.47.3_MERGED
211	0	0	0	0	0	2	0	0	0	1	0	4	0	0	3	5	2	5	1	1	7	6	0	9	10	1	0	0	0	0	0	0	7	6	0	3	4	0	0	0	9	0	3	0	23	31	20
212	0	1	0	2	0	0	11	3	2	7	4	4	0	1	0	9	1	0	5	30	6	47	57	214	2	2	0	0	3	0	1	1	12	7	9	14	13	2	14	52	18	9	15	34	23	15	28
213	0	0	0	0	0	0	4	3	3	8	4	2	3	8	1	1	0	2	4	654	18	65	20	25	3	5	10	6	5	65	2	34	12	10	4	7	15	4	119	317	75	3	2404	498	5	9	27
214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	19	3	4	14	11
215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	5
216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	11	6	0	1	0	0	0	16	0	0	0	1
217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	20	12	9
218	0	0	0	0	0	1	0	1	0	0	5	3	10	1	6	2	0	5	8	2	7	0	3	14	13	11	97	74	18	1	0	0	39	17	4	61	6	2	156	0	61	4	82	3	0	6	8
219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	6	4
220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	13	20	14
221	0	0	0	0	9	13	0	0	19	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	1	2	2	0	0	0	1	3	4
222	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	15	0	6	6	10
223	0	0	0	0	0	0	0	1	0	0	0	10	0	1	0	2	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	8	0	6	11	10
224	0	0	0	2	284	404	0	0	171	0	0	0	0	0	0	0	0	0	35	155	0	3	0	1	6	3	0	0	0	0	0	1	6	8	0	130	2	2	13	16	26	0	2	0	30	29	26
225	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	1	0	1	18	10	6	22	5	6	6
226	0	0	0	0	0	0	0	0	22	0	54	0	0	2	0	0	0	16	0	3	3	5	0	2	42	6	20	0	0	0	1	0	0	7	2	0	3	0	0	0	0	6	1	0	3	0	8
227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	0	20	0	5	4	21	2	0	0	0
228	0	0	0	0	0	0	0	0	15	1	5	0	3	0	3	4	2	0	4	2	5	3	1	3	5	3	0	8	2	0	0	0	43	7	4	17	3	4	41	4	18	4	24	12	4	13	5
229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5
230	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	6	17	6
231	0	0	0	0	0	1	0	0	0	0	0	15	1	0	2	1	1	1	0	1	5	0	0	6	2	0	0	0	0	0	0	0	4	1	0	0	0	0	5	0	5	0	1	1	11	11	6
232	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	18	1	15	15	33
233	0	0	0	0	0	0	0	1	0	0	1	15	1	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	3	5	19	5	103	75	115
234	1	2	2	9	7	19	51	3	30	3	13	10	8	16	2	3	0	34	10	647	4	41	135	123	23	99	11	43	1	5	47	6	183	37	17	106	3	2	102	45	96	1	12	7	1	4	11
235	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	1	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	24	0	9	19	14
236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	2	1	0	0	0	120	5	25	7	37	27	79	12	108	6	186	4	3	1	14
237	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	1	1	10	7	0	21	2	8	0	15	2	1	0	1
238	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6
239	0	0	0	1	1	0	0	0	1	0	0	3	2	0	0	3	0	0	2	0	4	24	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	1	1	0	0	0	32	3	25	22	34
240	0	0	0	0	0	0	0	0	2	0	0	1	5	0	0	4	0	0	7	5	3	0	0	11	2	0	0	0	0	0	0	0	7	2	0	3	6	0	5	0	8	0	5	1	0	0	0
241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	44	3	2	30	4	2	24	0	13	0	28	1	6	0	0
