OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
545	69e721cf4eb5bf644ca03cf1121fafe847da2885	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	unidentified
546	69f25dbbb819d2d57e329cf79ffb59cc6eb455a2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
547	6a1adec8bd2975b98c1e9240174e32defa4e4740	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	unidentified	unidentified
548	6a20aad660889ecc27c092e046411eb770abfadd	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus	Dipodascus_geotrichum
549	6a717f4bc2d78a2deb1d6a3c90ba2b875e9a79e0	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
550	6aaf265fc584c16e007bc9cb676755db31e54e0d	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dwayaangam	Dwayaangam_colodena
551	6ab49a4075e156bc5ff6337c97bc1bbdd60456d8	Fungi	Basidiomycota	unidentified	unidentified	unidentified	unidentified	unidentified
552	6ad0d79bae5e4b64a62bd4a9ce44641d77b414b7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
553	6ad2a0c1e8b6c7c2df08f707152d862068348089	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
554	6af56e2a7fc58d78c02796b3a67c1091704e11a2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Physalospora	Physalospora_scirpi
555	6b2f32ca2ac198d1ae97a70b4410515ac6179008	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unidentified	unidentified	unidentified
556	6b348e739f74d867b53a7ee3495a2f884b92f2f1	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
557	6b6634d1808af940a4dbabf862d27fe1b0a7c8fc	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
558	6b82b013a6df23e78f4063732a00be1b30ca1912	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	unidentified	unidentified	unidentified
559	6baa5bf6aa017d89be896c87193bca131ea8c854	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Kockovaella	Kockovaella_chinensis
560	6bbe914926a75dd2d8dd4fcc4a3c2ebc1bab3e2d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	unidentified	unidentified
561	6bf308abcdca3fb57a632abec52f5ad26967eb9b	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
562	6c5b67f9ba467591d921eae895b08d8bf8cafc1f	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_foliicola
563	6c60a448d470f5e47262ad78424bfddd16ac6b0e	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
564	6d168897231f40156b6f15bae3e9af4e875611ec	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
565	6e16967fbbaf02fd759ba63702be86d7b4cac404	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
566	6e4d579ebeeac680845d661198992b665f6de526	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
567	6eaba4c45e48c2328c17506929e6e2fd14c78f90	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis_isabellina
568	6f14362c7e70a0d3bd0919132c64ca4d0a89eca9	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Myriangiales_fam_Incertae_sedis	Endosporium	Endosporium_aviarium
569	6f30c2f88c865fc6874447c8c8130f9754a7de07	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Papiliotrema	Papiliotrema_laurentii
570	6f720f69e6c7d7ce331915c372c556d5571abf89	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
571	6ff61eebac48f914ca6158cc8fead9c8ce381a94	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	unidentified
572	7004aed9fa265a095c2c8e949c50f96b2a21fbe0	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
573	7045acd507ed1e25efa69e5ca66ba3523eff27b3	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
574	7083dd1e547bf4355a0946c1fc26b3190c20d875	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
575	7086425b4c22953363cf8e3021b9cafdabf1e7ea	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
576	708c850ee3fe1aa98936b3a26bb4182d9ca19204	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
577	7102cd40678a189116339322b2dc7bb91e681d0d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
578	7114b601c617ee3b642a42bc1507456d9a3a4d87	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
579	71411b74e653b380bc3666a3edca2e4c188b9695	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema_macrosporum
580	7170634a8c15b491527496c1be0f1551b3c7c5fc	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
581	71a23500cdf9ad7bb9f54471710617f4b4da8b3d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
582	71e4426f1d78c6a7abad863ba30bad87765ba3f9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
583	7258fe080a0c8797d1a7021faef9049b3f0e0569	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
584	72599265b643b283bc902798047423ffa85f531c	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
585	729bccd081a36a9879e29567d063ae7ee65c15f4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella_leporina
586	72e057c341e44f7f4e13dd161301effbbb9bb107	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Plagiostoma	Plagiostoma_imperceptibile
587	7316e719f15603c7c7a79f5144727842664a794c	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
588	73bd5f083da3588a38ac5c31cad812aaffcdf7a7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
