ID	3.1-4.2_2.76.1	3.1-4.2_2.76.2	3.1-4.2_2.76.3	3.1-4.2_2.05.1	3.1-4.2_2.05.2	3.1-4.2_2.05.3	2.42.1_MERGED	2.42.2_MERGED	2.42.3_MERGED	2.24.4_MERGED	2.24.5_MERGED	2.24.6_MERGED	3.1-4.2_2.14.1	3.1-4.2_2.14.2	3.1-4.2_2.14.3	2.29.4_MERGED	3.2-4.1_2.28.1	3.2-4.1_2.32.1	3.2-4.1_2.30.1	3.2-4.1_2.33.1	3.2-4.1_2.31.1	2.27.4_MERGED	2.27.5_MERGED	2.27.6_MERGED	3.1-4.2_2.03.1	3.1-4.2_2.03.2	3.1-4.2_2.03.3	2.16.1_MERGED	2.16.2_MERGED	2.16.3_MERGED	2.45.1_MERGED	2.45.2_MERGED	2.45.3_MERGED	2.46.1_MERGED	2.46.2_MERGED	2.46.3_MERGED	2.41.1_MERGED	2.41.2_MERGED	2.41.3_MERGED	2.48.4_MERGED	2.48.5_MERGED	2.48.6_MERGED
308	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	1	89	12	18	7	2	3	0	0	0	0	0	0
309	8	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	8	9	6	0	15	24	0	1	0	3	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	5	4	3	4	6	0	1	2	0	1	0	1	1
311	12	5	14	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	1	0	0	0	0
312	0	0	0	3	8	3	0	0	0	0	0	1	29	18	14	0	0	0	0	0	0	5	1	2	1	0	0	0	0	1	11	1	1	263	0	0	1	1	1	1	0	0
313	1	0	0	0	0	2	0	1	0	3	0	1	1	2	2	0	0	1	0	0	0	0	0	0	1	1	1	67	94	44	90	38	37	24	14	22	3	1	3	0	5	21
314	2	2	4	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	2	15	3	7	0	3	86	0	1	0
315	5	0	1	0	3	2	0	0	1	4	2	4	0	0	0	0	4	1	1	0	1	21	24	21	1	1	1	18	8	5	7	5	3	9	0	0	1	1	0	0	6	3
316	0	0	0	0	20	11	0	0	0	5	4	6	3	2	0	0	0	0	0	0	0	0	3	4	0	0	0	5	2	4	4	0	2	2	0	0	1	0	0	0	0	0
317	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	8	9	0	0	0	1	4	0	0	0	1	0	0	0	0	1	0	1	0	0
